codeexterne,type_organisme,abreviation,denomination_sociale,denomination_commerciale,numeroidentification,localisation_potentielle,intitule,duree,qualifiante,certifiante,public,condition_specifique,session_codeexterne,session_datedebut,session_datefin,session_continue,sheet,in_scope
0424385589-57058,Organisme privé de formation (associatif),,Réso asbl,,424385589,Arlon,digistart,60 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-57854,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Arlon,ameublement cartonnages et recouvrements,1 Années,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0464778468-57621,CISP DéFI Centre d'insertion socioprofessionnelle,,AID - La Trêve,,464778468,Arlon,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0850023965-18113,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,initiation informatique internet initiation aux logiciels,94 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-18127,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,art floral,80 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-18135,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,ouvrier tapissier garnissage niveau elementaire,300 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-18136,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,ouvrier tapissier garnissage niveau moyen,280 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850023965-18138,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,ouvrier tapissier garnissage niveau perfectionnement,280 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850023965-18411,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,decouverte des techniques d expression en arts plastiques,3 Années,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-20756,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,bachelier en informatique de gestion bacheliere en informatique de gestion,2180 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-20759,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,informatique administration et gestion et securisation des reseaux,100 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-20762,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,langages de programmation c c visual c,120 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-20763,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,programmation orientee java et java script,100 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850023965-23357,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,traitement de l image photoshop 1,80 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0850023965-34302,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,creation de sites web statiques,160 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-39874,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,traitement de l image photoshop 3,80 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-53016,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,brevet d enseignement superieur de web designer ui ux,1400 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-55051,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,traitement de l image photoshop 5,120 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0850023965-58059,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC SUD-LUXEMBOURG,,850023965,Arlon,traitement de l image photoshop 4,120 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
MCCOCR,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Arlon,vendeur caissier reassortisseur vendeuse caissiere reassortisseuse,234 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
MCCOCR,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Arlon,vendeur caissier reassortisseur vendeuse caissiere reassortisseuse,234 Heures,OUI,OUI,travailleur,,,,,,Feuil1,in
MCCOVM,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Arlon,vendeur vendeuse en magasin,92 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
MCCOVM,FOREM Office wallon de la formation professionnelle et de l'emploi,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Arlon,vendeur vendeuse en magasin,92 Heures,OUI,OUI,travailleur,,,,,,Feuil1,in
0582-0001-0016,Cheque-formation,,Cplus,,878583141,Assesse,informations et maitrise de la norme iso 27001,49 Heures,NON,NON,travailleur,"Formation exclusivement réservée : 

- Aux secteurs qualités (les responsables d'entreprise, les coordinateurs qualité et leur équipe, les membres de l'équipe, les chefs d'équipe, les auditeurs internes, DPO)

Sont exclus : 

Les demandeurs d’emploi et les personnes en Plan Formation-Insertion (PFI - en période de formation), les étudiants, les apprentis et les stagiaires en entreprise ainsi  que tout travailleur de l’Etat Fédéral, des Communautés, des Régions ainsi que des Provinces et des Communes et des organismes institués par ces derniers et des organismes d’intérêt public.",,,,,Feuil1,in
0406669035-57567,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Ath,utilisation d une tablette pc,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-57568,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Ath,utilisation d un smartphone,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0864127072-56968,CISP DéFI Centre d'insertion socioprofessionnelle,,Mode d'Emploi,,864127072,Ath,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-23324,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,dessin assiste par ordinateur 2d,1 Années,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-23325,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,traitement de l image photoshop,30 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0446476944-33105,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,graphisme avec photoshop,1 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-49842,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,dao 2d et dao 3d,1 Années,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0446476944-53127,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,informatique edition assistee par ordinateur word niveau elementaire,1 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-53128,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,informatique tableur excel niveau elementaire,1 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-53129,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,utilisation d un appareil informatique mobile tablette smartphones,2 Mois,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-53131,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,photographie numerique,8 Mois,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-53457,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,histoire de l art,1 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446476944-56787,Enseignement pour Adultes,I.L.L.E.P.S.,Institut libre luxembourgeois d'Enseignement de Promotion sociale,,446476944,Bastogne,initiation a l informatique,1 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0464778468-18955,CISP DéFI Centre d'insertion socioprofessionnelle,,AID - La Trêve,,464778468,Bastogne,employe administratif,6 Mois,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0464778468-57621,CISP DéFI Centre d'insertion socioprofessionnelle,,AID - La Trêve,,464778468,Bastogne,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0478167636-56667,Organisme privé de formation (associatif),,POLE BEAURINOIS DE FORMATION ET DE DEVELOPPEMENT,,478167636,Beauraing,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-19719,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique maintenance software,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-19721,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique tableur excel niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-20655,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique edition assistee par ordinateur word niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-20659,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique reseaux internet intranet,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-20660,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique introduction a l informatique,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-21187,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,technicien en infographie technicienne en infographie,1400 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207299589-22481,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,technicien en informatique technicienne en informatique,1300 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207299589-25067,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique presentation assistee par ordinateur powerpoint niveau elementaire,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-25074,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique maintenance hardware,120 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-26181,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,dentelle de binche,1 Années,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-47903,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,technicien en programmation technicienne en programmation,1240 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0207299589-49969,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique logiciel graphique d exploitation,40 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0207299589-53087,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,dentelle contemporaine,480 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-53091,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique pour senior,1 Années,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-55399,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,informatique gestionnaire de base de donnees niveau elementaire,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0207299589-56637,Enseignement pour Adultes,,Ville de Binche,,207299589,Binche,bureautique,80 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0729757427-57500,CISP EFT Centre d'insertion socioprofessionnelle,,EUX-RECA,,729757427,Blégny,digistart,4 Semaines,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0849789383-21808,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE de BLEGNY-PAYS DE HERVE,,849789383,Blégny,technicien en bureautique technicienne en bureautique,1400 Heures,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
0849789383-23568,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE de BLEGNY-PAYS DE HERVE,,849789383,Blégny,informatique au quotidien,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0849789383-42410,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE de BLEGNY-PAYS DE HERVE,,849789383,Blégny,techniques de base de la photographie,160 Heures,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
0849789383-46784,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE de BLEGNY-PAYS DE HERVE,,849789383,Blégny,utilisation d un smartphone,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0849789383-53054,Enseignement pour Adultes,,ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE de BLEGNY-PAYS DE HERVE,,849789383,Blégny,bases de l informatique,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446997081-23179,CISP DéFI Centre d'insertion socioprofessionnelle,LA SOURCE,"LA SOURCE, UNE CASCADE DE RESSOURCES",,446997081,Bouillon,bureau tic,6 Mois,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0446997081-56450,CISP DéFI Centre d'insertion socioprofessionnelle,LA SOURCE,"LA SOURCE, UNE CASCADE DE RESSOURCES",,446997081,Bouillon,digistart,48 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-37801,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,initiation a l informatique,450 Minutes,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-37802,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,bases de l informatique,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-39954,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,postproduction de la photographie,160 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-40090,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,initation aux logiciels,60 Heures,NON,NON,chercheur d emploi,,,,,,Feuil1,in
0406669035-40092,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,logiciel grahique d exploitation,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-40096,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,informatique utilisation d internet,24 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-42055,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,introduction a l informatique,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-42056,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,initiation a l utilsation d une imprimante 3d,60 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-42058,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,introduction a la navigation sur internet,12 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-42061,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,gestionnaire de donnees personnelles et courrier electronique,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-46545,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,utilisation d un appareil informatique mobile,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-49300,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,tablette mutlimedia,20 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-49301,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,utilisation d une tablette pc,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-52661,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,ouvrier tapissier garnisseur travaux pratiques de base,300 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-54888,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,pratique elementaire de la restauration du mobilier,100 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,out
0406669035-54890,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,base de menuiserie en renovation de mobilier,160 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,out
0406669035-54892,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,habillement du logis initiation,240 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-56330,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,informatique au quotidien,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-56336,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,sensibilisation a l impression 3d,40 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-56337,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,bases de modelisation et impression 3d,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-57570,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,pratique elementaire de la photographie themes imposes,160 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-57571,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,ouvrier tapissier garnisseur travaux pratiques approfondissement,280 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-57572,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,initiation a la technique du patchwork,240 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0406669035-57576,Enseignement pour Adultes,I.T.C.A.T.B.,Institut Technique et Commerciale des Aumoniers du Travail Boussu,,406669035,Boussu,maintenance et mise a jour informatique,120 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
0431879038-56205,CISP DéFI Centre d'insertion socioprofessionnelle,TRANSVIA,centre européen jean meunier transition à une vie active,,431879038,Boussu,digistart,80 Heures,NON,OUI,chercheur d emploi,,,,,,Feuil1,in
5232TFIT16,CDC ASBL,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Boussu,ict technical business analyst,85 Jours,OUI,OUI,chercheur d emploi,,,,,,Feuil1,in
5310TC09,CDC ASBL,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Boussu,administrateur systeme oriente virtualisation,110 Jours,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
5310TC23,CDC ASBL,FOREM,Office wallon de la Formation professionnelle et de l'Emploi,,236363165,Boussu,developpeur fullstack fin 2026,90 Jours,OUI,NON,chercheur d emploi,,,,,,Feuil1,in
