codeexterne;type_organisme;abreviation;denomination_sociale;denomination_commerciale;numeroidentification;localisation_potentielle;intitule;duree;Courte;moyenne;longue;qualifiante;certifiante;public;condition_specifique
0420404235-23068;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Concepteur / Conceptrice d'animation 3D (chef d'entreprise);2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-53863;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Conseiller / Conseillère en Cybersécurité ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0407884406-55209;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre IFAPME WAPI;Centre IFAPME Wallonie picarde ou Centre IFAPME de Tournai;;407884406;Tournai;Conseiller / Conseillère en Cybersécurité ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-55256;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Verviers;Conseiller / Conseillère en Cybersécurité ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409139169-53614;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Namur/Brabant wallon;;409139169;Wavre;Conseiller / Conseillère en Cybersécurité ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-35440;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Conseiller / Conseillère en relations publiques (chef d'entreprise);2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0438301725-19376;CFISPA Centre de formation et d'insertion socioprofessionnelle adapté;;Le Réseau;;438301725;Charleroi;Dessin Technique;2 Années;NON;NON;OUI;OUI;OUI;Chercheur d'emploi;
0409147186-55528;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Développeur / Développeuse Web Back End ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-58004;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Développeur / Développeuse Web Back End ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409139169-55407;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Namur/Brabant wallon;;409139169;Wavre;Développeur / Développeuse Web Back End ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-47020;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Développeur / Développeuse Web Front End ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-47298;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Développeur / Développeuse Web Front End ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0407884406-53492;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre IFAPME WAPI;Centre IFAPME Wallonie picarde ou Centre IFAPME de Tournai;;407884406;Tournai;Développeur / Développeuse Web Front End ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409139169-53613;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Namur/Brabant wallon;;409139169;Wavre;Développeur / Développeuse Web Front End ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-47021;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Développeur Web / Développeuse Web mobile ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-50525;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Graphic Designer ( Graphiste) ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0411585945-50391;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME de Dinant;;411585945;Dinant;Graphic Designer ( Graphiste) ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-53653;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;Graphic Designer ( Graphiste) ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409139169-55362;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Namur/Brabant wallon;;409139169;Ohey;Graphic Designer ( Graphiste) ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207362739-57868;Enseignement pour Adultes;;Ville de Namur;;207362739;Namur;OPERATEUR/OPERATRICE SUPPORT INFORMATIQUE ET SYSTEME;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850031388-57867;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE EAFC NAMUR CEFOR;;850031388;Namur;OPERATEUR/OPERATRICE SUPPORT INFORMATIQUE ET SYSTEME;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-49861;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Photographe (Chef d'Entreprise) ;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850030497-56594;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE, EAFC VIELSALM - STAVELOT - MANHAY;;850030497;Stavelot;Technicien en Bureautique / Technicienne en Bureautique;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850030497-56594;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE, EAFC VIELSALM - STAVELOT - MANHAY;;850030497;Vielsalm;Technicien en Bureautique / Technicienne en Bureautique;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-23110;Enseignement pour Adultes;;Province du Hainaut;;207656610;Charleroi;Technicien en Infographie / Technicienne en Infographie;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0206628707-46931;Enseignement pour Adultes;;Ville de Châtelet;;206628707;Châtelet;Technicien en Informatique / Technicienne en Informatique;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0216697109-53158;Enseignement pour Adultes;;Commune de Sambreville;;216697109;Sambreville;Technicien en Informatique / Technicienne en Informatique;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207310774-44407;Enseignement pour Adultes;;Ville de Charleroi;;207310774;Charleroi;Technicien en Photographie / Technicienne en Photographie;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-55527;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;UX/UI Designer;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0420404235-55155;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Liège - Huy - Verviers;;420404235;Liège;UX/UI Designer;2 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409139169-50416;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Namur/Brabant wallon;;409139169;Namur;Assistant / Assistante de Maintenance Informatique (Apprentissage) ;3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207362739-25020;Enseignement pour Adultes;;Ville de Namur;;207362739;Namur;BACHELIER EN INFORMATIQUE ET SYSTEMES - Orientation : technologie de l'informatique;3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-57796;Enseignement pour Adultes;;Province du Hainaut;;207656610;Charleroi;Bachelier en Informatique, orientation Développement d'Applications / Bachelière en Informatique, orientation Développement d'Applications;3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0407575192-57683;Enseignement pour Adultes;;COLLEGE DES AUMONIERS DU TRAVAIL DE CHARLEROI;;407575192;Charleroi;Bachelier en Informatique, orientation Développement d'Applications / Bachelière en Informatique, orientation Développement d'Applications;3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0461051094-57624;Enseignement pour Adultes;;Centre d'Enseignement Saint - Laurent, Liège;;461051094;Liège;Bachelier en Informatique, orientation Intelligence Artificielle / Bachelière en Informatique, orientation Intelligence Artificielle;3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-56806;Enseignement pour Adultes;;Province du Hainaut;;207656610;Charleroi;Bachelier en Informatique, orientation Technologies de l'Informatique / Bachelière en Informatique, orientation Technologies de l'Informatique;3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-57862;Enseignement pour Adultes;;Province du Hainaut;;207656610;Charleroi;Bachelier en Informatique, orientation Technologies de l'Informatique / Bachelière en Informatique, orientation Technologies de l'Informatique;3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-55222;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Bijoutier-Joaillier / Bijoutière-Joaillère (chef d'entreprise);3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-19635;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;Charleroi;Décorateur / Décoratrice d'intérieur ('chef d'entreprise);3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409139169-58095;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;;Centre IFAPME Namur/Brabant wallon;;409139169;Namur;Opérateur / Opératrice de maintenance informatique (Apprentissage);3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0409147186-55159;IFAPME Institut wallon de Formation en Alternance et des indépendants et des PME;Centre P.M.E. Formation;Centre IFAPME de Charleroi;;409147186;;Opérateur / Opératrice de maintenance informatique (Apprentissage);3 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0850018522-35482;Enseignement pour Adultes;;EAFC Famenne – Ardenne;;850018522;Marche-en-Famenne;Bachelier en Informatique de Gestion / Bachelière en Informatique de Gestion;4 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207656610-56865;Enseignement pour Adultes;;Province du Hainaut;;207656610;Tournai;Bachelier en Informatique, orientation Développement d'Applications / Bachelière en Informatique, orientation Développement d'Applications;4 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0207316021-56890;Enseignement pour Adultes;;Ville de Wavre;;207316021;Wavre;BES Webdesigner UI/UX. ;800 Années;NON;NON;OUI;OUI;NON;Chercheur d'emploi;
0236363165-48267;FOREM Office wallon de la formation professionnelle et de l'emploi;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Mouscron;Modules numériques à distance ET/OU en centre Création de contenu;0 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0236363165-48267;FOREM Office wallon de la formation professionnelle et de l'emploi;FOREM;Office wallon de la Formation professionnelle et de l'Emploi;;236363165;Tournai;Modules numériques à distance ET/OU en centre Création de contenu;0 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0417777515-55539;CISP DéFI Centre d'insertion socioprofessionnelle;FUNOC;Association pour le développement à Charleroi d'Actions collectives de Formation pour l'Université ouverte;;417777515;Charleroi;DIGIFUN :  MON PASS NUMERIQUE - Projet FSE+;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0550398388-56789;Enseignement pour Adultes;;Institut d'enseignement de promotion sociale de la communaute française;;550398388;Libramont-Chevigny;Gestionnaire de base de données;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0446476944-33105;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Bastogne;Graphisme avec photoshop;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0850030497-56624;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE, EAFC VIELSALM - STAVELOT - MANHAY;;850030497;Stavelot;Graphisme élémentaire - Traitement de texte moyen;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0850030497-53264;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE, EAFC VIELSALM - STAVELOT - MANHAY;;850030497;Stavelot;Image vectorielle;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0850030497-53264;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE, EAFC VIELSALM - STAVELOT - MANHAY;;850030497;Vielsalm;Image vectorielle;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0446476944-53127;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Bastogne;Informatique : Edition Assistée par Ordinateur (Word) - Niveau Elémentaire;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0850018522-49709;Enseignement pour Adultes;;EAFC Famenne – Ardenne;;850018522;Marche-en-Famenne;INFORMATIQUE : INTRODUCTION A L’INFORMATIQUE;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0850030497-24389;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE, EAFC VIELSALM - STAVELOT - MANHAY;;850030497;Stavelot;Informatique : Logiciel graphique d'exploitation (Windows 10);1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0850030497-24389;Enseignement pour Adultes;;ETABLISSEMENT D'ENSEIGNEMENT POUR ADULTES ET DE FORMATION CONTINUE, EAFC VIELSALM - STAVELOT - MANHAY;;850030497;Vielsalm;Informatique : Logiciel graphique d'exploitation (Windows 10);1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0446476944-53128;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Bastogne;INFORMATIQUE : TABLEUR (EXCEL) – NIVEAU ELEMENTAIRE;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0446476944-22464;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Vielsalm;INFORMATIQUE : TABLEUR (EXCEL) – NIVEAU ELEMENTAIRE;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
0446476944-56787;Enseignement pour Adultes;I.L.L.E.P.S.;Institut libre luxembourgeois d'Enseignement de Promotion sociale;;446476944;Bastogne;Initiation à l'informatique;1 Heures;OUI;NON;NON;NON;OUI;Chercheur d'emploi;
